[run number],1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,11,11,11,11,11,12,12,12,12,12,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,19,19,19,19,19,20,20,20,20,20
number,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,,50,,,,
land_bridge,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,
color_by,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,
[reporter],ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat,ticks,crossings,N,deaths,left_habitat
[final],701,0,363,267,4,701,0,413,306,6,701,0,379,292,5,701,0,379,318,7,701,0,374,311,4,701,0,387,290,4,701,0,411,355,3,701,0,402,327,1,701,0,394,312,2,701,338,434,0,250,701,267,393,14,223,701,333,408,14,310,701,262,375,0,223,701,310,383,0,263,701,320,352,2,300,701,340,384,0,255,701,248,313,7,189,701,330,419,0,250
[min],0,0,363,0,0,0,0,413,0,0,0,0,379,0,0,0,0,379,0,0,0,0,374,0,0,0,0,387,0,0,0,0,411,0,0,0,0,402,0,0,0,0,394,0,0,0,0,434,0,0,0,0,393,0,0,0,0,408,0,0,0,0,375,0,0,0,0,383,0,0,0,0,352,0,0,0,0,384,0,0,,,,,,,,,,
[max],701,0,363,267,4,701,0,413,306,6,701,0,379,292,5,701,0,379,318,7,701,0,374,311,4,701,0,387,290,4,701,0,411,355,3,701,0,402,327,1,701,0,394,312,2,701,338,434,0,250,701,267,393,14,223,701,333,408,14,310,701,262,375,0,223,701,310,383,0,263,701,320,352,2,300,701,340,384,0,255,,,,,,,,,,
[mean],350.5,0,363,165.3746439,1.320512821,350.5,0,413,198.4131054,2.698005698,350.5,0,379,177.7564103,2.54985755,350.5,0,379,203.7606838,3.128205128,350.5,0,374,202.7179487,1.434472934,350.5,0,387,202.7920228,1.672364672,350.5,0,411,231.6125356,1.387464387,350.5,0,402,179.3532764,0.663817664,350.5,0,394,198.8490028,0.886039886,350.5,186.4757835,434,0,111.2849003,350.5,152.9615385,393,10.47863248,91.77777778,350.5,221.4401709,408,7.156695157,139.4415954,350.5,165.8091168,375,0,104.522792,350.5,203.1153846,383,0,129.8447293,350.5,208.0327635,352,1.562678063,126.3518519,350.5,171.5,384,0,92.46581197,,,,,,,,,,
